female,male,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,528,soldat,0.0026217970957030283,0.002616840957525896,4.956138177132378e-6,0.03967273401825232,-0.3862530015291631
8,392,leistet,0.0019824552708529513,0.0019428061654358922,3.9649105417059026e-5,0.03484757540866499,-0.23275452923457893
2,243,geriet,0.0012142538533974328,0.001204341577043168,9.912276354264757e-6,0.03415458114684608,-0.28252321917978607
48,887,weltkrieg,0.004633989195618774,0.0043960945631164195,2.3789463250235417e-4,0.03410262089014585,-0.16975628565290155
20,528,teil,0.0027159637210685435,0.002616840957525896,9.912276354264757e-5,0.03373796835356257,-0.19064553725082017
1,179,wehrmacht,8.921048718838282e-4,8.871487337066957e-4,4.956138177132378e-6,0.03304259202735913,-0.297997426918216
2,200,kriegsgefangenschaft,0.0010011399117807404,9.912276354264757e-4,9.912276354264757e-6,0.03293938771116165,-0.26577309539535465
4,237,entlass,0.0011944293006889031,0.0011746047479803737,1.9824552708529513e-5,0.032762231983553165,-0.2350767542651983
2,178,gefangenschaft,8.921048718838282e-4,8.821925955295633e-4,9.912276354264757e-6,0.03221971613214315,-0.25576498193274977
2,129,landwirt,6.492541012043416e-4,6.393418248500768e-4,9.912276354264757e-6,0.030236671161900753,-0.2281858468976718
2,103,mitbegrund,5.203945085988997e-4,5.10482232244635e-4,9.912276354264757e-6,0.028831394262994747,-0.2089841430221149
5,147,mitgliedsnumm,7.533330029241216e-4,7.285523120384597e-4,2.4780690885661892e-5,0.028283097737837694,-0.17552205812045268
3,109,reserv,5.550874758388264e-4,5.402190613074293e-4,1.4868414531397136e-5,0.027995719970591103,-0.18593767365938987
14,258,kriegsend,0.001348069584180007,0.0012786836497001536,6.93859344798533e-5,0.027760044462120735,-0.14764175392156803
9,189,nsdap,9.81315359072211e-4,9.367101154780195e-4,4.4605243594191406e-5,0.027427796703738492,-0.153537817401714
17,280,bayer,0.0014719730386083163,0.0013877186895970659,8.425434901125044e-5,0.027178221580896392,-0.1393745259791076
33,444,volksschul,0.0023640779104921444,0.002200525350646776,1.635525598453685e-4,0.027142385590778764,-0.12824131189286894
2,79,oberrealschul,4.0144719234772264e-4,3.915349159934579e-4,9.912276354264757e-6,0.027121053941514896,-0.18646052475188268
2,75,heimatvertrieb,3.8162263963919315e-4,3.717103632849284e-4,9.912276354264757e-6,0.02677597701587766,-0.18206502996925072
8,161,bundeswehr,8.37587351935372e-4,7.979382465183129e-4,3.9649105417059026e-5,0.026534518739182725,-0.14774927563507645
6,133,fungiert,6.889032066214006e-4,6.591663775586063e-4,2.973682906279427e-5,0.026438947652413048,-0.15252255394146516
6,133,jur,6.889032066214006e-4,6.591663775586063e-4,2.973682906279427e-5,0.026438947652413048,-0.15252255394146516
2,71,kriegsdien,3.617980869306636e-4,3.518858105763989e-4,9.912276354264757e-6,0.026407550862510364,-0.17743500041152305
3,88,sowjet,4.5100857411904644e-4,4.361401595876493e-4,1.4868414531397136e-5,0.0263979142245445,-0.16725880582348526
1,49,beamt,2.478069088566189e-4,2.4285077067948653e-4,4.956138177132378e-6,0.0261412262782564,-0.19313078426536864
76,781,nahm,0.004247410417802448,0.0038707439163403875,3.766665014620608e-4,0.026090560322401812,-0.11031647077183818
1,48,staatsdien,2.4285077067948653e-4,2.3789463250235417e-4,4.956138177132378e-6,0.0260266973140441,-0.1914768424194319
1,48,rang,2.4285077067948653e-4,2.3789463250235417e-4,4.956138177132378e-6,0.0260266973140441,-0.1914768424194319
2,67,diplom-ingenieur,3.419735342221341e-4,3.3206125786786934e-4,9.912276354264757e-6,0.026012351482410285,-0.17254398972155358
7,139,rechts-,7.235961738613272e-4,6.889032066214006e-4,3.469296723992665e-5,0.025911330337280488,-0.14458538910638313
1,46,wirtschaftspolit,2.3293849432522179e-4,2.279823561480894e-4,4.956138177132378e-6,0.025788854887718163,-0.1880652097443326
1,46,offizi,2.3293849432522179e-4,2.279823561480894e-4,4.956138177132378e-6,0.025788854887718163,-0.1880652097443326
