male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
40,1,leistet,0.003112426933879906,0.0030365140818340544,7.591285204585137e-5,0.12999445146071123,-0.3266810875982376
9,1,sekretar,7.591285204585136e-4,6.832156684126623e-4,7.591285204585137e-5,0.09232315737192175,-0.1779357581472071
8,1,natur,6.832156684126623e-4,6.07302816366811e-4,7.591285204585137e-5,0.08917772091037827,-0.16682872108403435
16,4,ig,0.0015182570409170272,0.001214605632733622,3.036514081834055e-4,0.08269104559762343,-0.12281276716138835
6,1,betriebsrat,5.313899643209595e-4,4.554771122751082e-4,7.591285204585137e-5,0.08111674548115409,-0.1403353174403825
6,1,physik,5.313899643209595e-4,4.554771122751082e-4,7.591285204585137e-5,0.08111674548115409,-0.1403353174403825
6,1,unternehmensberat,5.313899643209595e-4,4.554771122751082e-4,7.591285204585137e-5,0.08111674548115409,-0.1403353174403825
6,1,landwirt,5.313899643209595e-4,4.554771122751082e-4,7.591285204585137e-5,0.08111674548115409,-0.1403353174403825
6,1,gepragt,5.313899643209595e-4,4.554771122751082e-4,7.591285204585137e-5,0.08111674548115409,-0.1403353174403825
9,2,bundeswehr,8.350413725043649e-4,6.832156684126623e-4,1.5182570409170274e-4,0.07924672672707538,-0.12397086045445244
17,5,technisch,0.0016700827450087299,0.0012905184847794731,3.795642602292568e-4,0.07823084228183072,-0.11006234949393463
5,1,nrw,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
5,1,fachoberschul,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
5,1,karri,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
5,1,direkt,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
5,1,versamml,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
5,1,polizei,4.554771122751082e-4,3.795642602292568e-4,7.591285204585137e-5,0.07566251059048029,-0.12408485299015984
8,2,sport,7.591285204585136e-4,6.07302816366811e-4,1.5182570409170274e-4,0.074952276065886,-0.1131312615769084
8,2,selbststand,7.591285204585136e-4,6.07302816366811e-4,1.5182570409170274e-4,0.074952276065886,-0.1131312615769084
7,2,zugelass,6.832156684126623e-4,5.313899643209595e-4,1.5182570409170274e-4,0.06988871030948206,-0.10114864094177017
7,2,aufgewachs,6.832156684126623e-4,5.313899643209595e-4,1.5182570409170274e-4,0.06988871030948206,-0.10114864094177017
7,2,berat,6.832156684126623e-4,5.313899643209595e-4,1.5182570409170274e-4,0.06988871030948206,-0.10114864094177017
7,2,betriebswirtschaftslehr,6.832156684126623e-4,5.313899643209595e-4,1.5182570409170274e-4,0.06988871030948206,-0.10114864094177017
14,5,abteilung,0.001442344188871176,0.001062779928641919,3.795642602292568e-4,0.06906730417180175,-0.0914495490454611
4,1,arbeiterwohlfahrt,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,geschwist,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,hof,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,verwaltungsrat,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,buch,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,grossvat,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,jur,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,kommunist,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,partn,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,darub,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,university,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,technik,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,liess,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
4,1,saarland,3.795642602292568e-4,3.036514081834055e-4,7.591285204585137e-5,0.06853803769192383,-0.10486463300469145
9,3,koblenz,9.109542245502164e-4,6.832156684126623e-4,2.277385561375541e-4,0.06730888085527639,-0.09199543565437564
9,3,chemi,9.109542245502164e-4,6.832156684126623e-4,2.277385561375541e-4,0.06730888085527639,-0.09199543565437564
9,3,bayer,9.109542245502164e-4,6.832156684126623e-4,2.277385561375541e-4,0.06730888085527639,-0.09199543565437564
9,3,regensburg,9.109542245502164e-4,6.832156684126623e-4,2.277385561375541e-4,0.06730888085527639,-0.09199543565437564
6,2,grundungsmitglied,6.07302816366811e-4,4.554771122751082e-4,1.5182570409170274e-4,0.06376185498133351,-0.08775321073991957
6,2,fuhrt,6.07302816366811e-4,4.554771122751082e-4,1.5182570409170274e-4,0.06376185498133351,-0.08775321073991957
6,2,stiftung,6.07302816366811e-4,4.554771122751082e-4,1.5182570409170274e-4,0.06376185498133351,-0.08775321073991957
6,2,erfolgreich,6.07302816366811e-4,4.554771122751082e-4,1.5182570409170274e-4,0.06376185498133351,-0.08775321073991957
8,3,tubing,8.350413725043649e-4,6.07302816366811e-4,2.277385561375541e-4,0.062083795900808585,-0.08162126879581864
17,8,novemb,0.001897821301146284,0.0012905184847794731,6.07302816366811e-4,0.05901561297527064,-0.07084798103562895
3,1,reaktorsich,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,wirkung,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,volkshochschul,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,pol,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,bezirksverwalt,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,regier,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,soest,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,berufsbild,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,religionspadagog,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,studienabschluss,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,dr.-ing,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,folgend,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,sportwissenschaft,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,histor,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,otto-suhr-institut,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,kundigt,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,alt,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,bundesanstalt,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,wetzlar,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,insbesond,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,hinaus,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,tag,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,rahm,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,jena,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,aach,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,lausitz,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,referat,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,csu,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
3,1,kraftwerk,3.036514081834055e-4,2.277385561375541e-4,7.591285204585137e-5,0.05849242556439069,-0.08134098489628536
11,5,ging,0.001214605632733622,8.350413725043649e-4,3.795642602292568e-4,0.05693865605974241,-0.06963141303724854
9,4,thema,9.868670765960678e-4,6.832156684126623e-4,3.036514081834055e-4,0.056327127199291595,-0.06962726294009954
9,4,erhielt,9.868670765960678e-4,6.832156684126623e-4,3.036514081834055e-4,0.056327127199291595,-0.06962726294009954
9,4,u,9.868670765960678e-4,6.832156684126623e-4,3.036514081834055e-4,0.056327127199291595,-0.06962726294009954
5,2,verkehr,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
5,2,werdegang,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
5,2,ehefrau,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
5,2,kreisvorsitz,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
5,2,studi,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
5,2,landgericht,5.313899643209595e-4,3.795642602292568e-4,1.5182570409170274e-4,0.05609151571169522,-0.07256672450538208
7,3,national,7.591285204585136e-4,5.313899643209595e-4,2.277385561375541e-4,0.05591519382446679,-0.07025765471662786
7,3,metall,7.591285204585136e-4,5.313899643209595e-4,2.277385561375541e-4,0.05591519382446679,-0.07025765471662786
10,5,wirtschaftswissenschaft,0.0011386927806877705,7.591285204585136e-4,3.795642602292568e-4,0.05189942710727958,-0.06143759210773214
15,8,dien,0.0017459955970545813,0.0011386927806877705,6.07302816366811e-4,0.0517614044992257,-0.05959005892313986
8,4,bay,9.109542245502164e-4,6.07302816366811e-4,3.036514081834055e-4,0.05033579394313817,-0.05974499600744197
116,84,ab,0.015182570409170272,0.008805890837318758,0.006376679571851515,0.049351782336938196,-0.050008954282928855
22,13,ddr,0.0026569498216047977,0.0016700827450087299,9.868670765960678e-4,0.04909718393456234,-0.05428408255409034
6,3,kuratorium,6.832156684126623e-4,4.554771122751082e-4,2.277385561375541e-4,0.04845375666545033,-0.05769576215092157
14,8,beschaftigt,0.0016700827450087299,0.001062779928641919,6.07302816366811e-4,0.04765554470934638,-0.05358832200353802
4,2,bezieh,4.554771122751082e-4,3.036514081834055e-4,1.5182570409170274e-4,0.04602817584211989,-0.055035212766985565
4,2,ingenieur,4.554771122751082e-4,3.036514081834055e-4,1.5182570409170274e-4,0.04602817584211989,-0.055035212766985565
4,2,grundschul,4.554771122751082e-4,3.036514081834055e-4,1.5182570409170274e-4,0.04602817584211989,-0.055035212766985565
4,2,weimar,4.554771122751082e-4,3.036514081834055e-4,1.5182570409170274e-4,0.04602817584211989,-0.055035212766985565
